anz,name
133111,施工项目经理/Construction Project Manager
133112,项目构建师/Project Builder
232111,建筑师/Architect
232112,景观设计师/Landscape Architect
232212,测量员/Surveyor
233211,土木工程师/Civil Engineer
233212,岩土工程师/Geotechnical Engineer
233214,结构工程师/Structural Engineer
233215,交通工程师/Transport Engineer
312111,建筑绘图员/Architectural Draftsperson
312112,建筑助理/Building Associate
312113,建筑检查员/Building Inspector
312114,建筑估算员/Construction Estimator
312115,水暖督察/Plumbing Inspector
312116,测量或空间科学技术员/Surveying or Spatial Science Technician
312199,建筑，建造及测量技术员NEC/Architectural,Building and Surveying Technicians nec
312211,土木工程绘图员/Civil Engineering Draftsperson
312212,土木工程技术员/Civil Engineering Technician